id,tên,loại,thành phần,option,option_json,canonical_description,structured_tags,health_profile,context_suitability,
22,bánh mì,đồ ăn,"bánh mì, pate, chả, dưa leo, ớt, rau răm","pate (nhiều/ít), chả (nhiều/ít), ớt (nhiều/ít/không), dưa leo (nhiều/ít/không), rau răm (nhiều/ít/không)","{""pate"": [""nhiều"", ""ít""], ""chả"": [""nhiều"", ""ít""], ""ớt"": [""nhiều"", ""ít"", ""không""], ""dưa_leo"": [""nhiều"", ""ít"", ""không""], ""rau_răm"": [""nhiều"", ""ít"", ""không""]}","Bánh mì là món tiện lợi, đậm vị và nhanh gọn. Không phù hợp người cao huyết áp hoặc gan nhiễm mỡ nếu dùng nhiều pate hoặc chả mặn.","{""type"":""đồ ăn"",""taste"":[""savory"",""salty""],""ingredients"":[""bánh mì"",""pate"",""chả"",""dưa leo"",""ớt"",""rau răm""],""options"":[""pate (nhiều/ít)"",""chả (nhiều/ít)"",""ớt (nhiều/ít/không)"",""dưa leo (nhiều/ít/không)"",""rau răm (nhiều/ít/không)""],""suitable_for"":[""on_the_go"",""in_a_hurry""],""avoid_for"":[""high_blood_pressure"",""fatty_liver""]}","{""good_for"":[""on_the_go"",""in_a_hurry""],""bad_for"":[""high_blood_pressure"",""fatty_liver""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":true,""rainy"":false,""sunny_strong"":true,""pre_work"":true,""post_work"":false,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":false,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
23,bún riêu cua,đồ ăn,"bún, riêu cua, cà chua, huyết, đậu hũ, rau sống","hành (nhiều/ít/không), riêu cua (nhiều/ít), đậu phụ (nhiều/ít/không), huyết (có/không), cà chua (nhiều/ít), rau (nhiều/ít/không), mắm tôm (có/không), ớt (nhiều/ít/không)","{""hành"": [""nhiều"", ""ít"", ""không""], ""riêu_cua"": [""nhiều"", ""ít""], ""đậu_phụ"": [""nhiều"", ""ít"", ""không""], ""huyết"": [""có"", ""không""], ""cà_chua"": [""nhiều"", ""ít""], ""rau"": [""nhiều"", ""ít"", ""không""], ""mắm_tôm"": [""có"", ""không""], ""ớt"": [""nhiều"", ""ít"", ""không""]}","Bún riêu cua là món nước thanh nhưng có vị mặn và tang từ riêu cua, chua nhẹ từ cà chua. Không phù hợp người gout, cao huyết áp hoặc viêm đại tràng.","{""type"":""đồ ăn"",""taste"":[""salty"",""sour"",""umami""],""ingredients"":[""bún"",""riêu cua"",""cà chua"",""huyết"",""đậu hũ"",""rau sống""],""options"":[""hành (nhiều/ít/không)"",""riêu cua (nhiều/ít)"",""đậu phụ (nhiều/ít/không)"",""huyết (có/không)"",""cà chua (nhiều/ít)"",""rau (nhiều/ít/không)"",""mắm tôm (có/không)"",""ớt (nhiều/ít/không)""],""suitable_for"":[],""avoid_for"":[""gout"",""high_blood_pressure"",""colitis""]}","{""good_for"":[],""bad_for"":[""gout"",""high_blood_pressure"",""colitis""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
24,bánh canh,đồ ăn,"sợi bánh canh, tôm, thịt heo, hành","hành (nhiều/ít/không), tôm (nhiều/ít), thịt (nhiều/ít)","{""hành"": [""nhiều"", ""ít"", ""không""], ""tôm"": [""nhiều"", ""ít""], ""thịt"": [""nhiều"", ""ít""]}","Bánh canh là món nước ấm, dễ ăn và phù hợp nhiều độ tuổi. Không phù hợp người dị ứng hải sản nếu dùng tôm.","{""type"":""đồ ăn"",""taste"":[""salty"",""umami""],""ingredients"":[""sợi bánh canh"",""tôm"",""thịt heo"",""hành""],""options"":[""hành (nhiều/ít/không)"",""tôm (nhiều/ít)"",""thịt (nhiều/ít)""],""suitable_for"":[""weak_stomach""],""avoid_for"":[""seafood_allergy""]}","{""good_for"":[""weak_stomach""],""bad_for"":[""seafood_allergy""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":true,""sunny_strong"":false,""pre_work"":true,""post_work"":false,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":true,""portable"":false,""short_lunch_break"":false}",
25,bún đậu mắm tôm,đồ ăn,"bún, đậu phụ chiên, thịt luộc, mắm tôm","đậu (nhiều/ít), thịt (nhiều/ít), rau (nhiều/ít/không), mắm tôm (nhiều/ít)","{""đậu"": [""nhiều"", ""ít""], ""thịt"": [""nhiều"", ""ít""], ""rau"": [""nhiều"", ""ít"", ""không""], ""mắm_tôm"": [""nhiều"", ""ít""]}","Bún đậu mắm tôm là món đặc trưng với vị mặn đậm, thơm và dễ gây nặng bụng. Không phù hợp người cao huyết áp, gout hoặc dạ dày yếu.","{""type"":""đồ ăn"",""taste"":[""salty"",""fermented""],""ingredients"":[""bún"",""đậu phụ chiên"",""thịt luộc"",""mắm tôm""],""options"":[""đậu (nhiều/ít)"",""thịt (nhiều/ít)"",""rau (nhiều/ít/không)"",""mắm tôm (nhiều/ít)""],""suitable_for"":[],""avoid_for"":[""high_blood_pressure"",""gout"",""weak_stomach"",""gastritis""]}","{""good_for"":[],""bad_for"":[""high_blood_pressure"",""gout"",""weak_stomach"",""gastritis""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
26,cá kho tộ,đồ ăn,"cá, nước mắm, tiêu, ớt","cá (nhiều/ít), tiêu (nhiều/ít/không), ớt (nhiều/ít/không)","{""cá"": [""nhiều"", ""ít""], ""tiêu"": [""nhiều"", ""ít"", ""không""], ""ớt"": [""nhiều"", ""ít"", ""không""]}",Cá kho tộ là món mặn đậm vị với tiêu và ớt thơm. Không phù hợp người cao huyết áp hoặc dạ dày yếu do nhiều natri và cay.,"{""type"":""đồ ăn"",""taste"":[""salty"",""spicy"",""umami""],""ingredients"":[""cá"",""nước mắm"",""tiêu"",""ớt""],""options"":[""cá (nhiều/ít)"",""tiêu (nhiều/ít/không)"",""ớt (nhiều/ít/không)""],""suitable_for"":[],""avoid_for"":[""high_blood_pressure"",""gastritis"",""weak_stomach""]}","{""good_for"":[],""bad_for"":[""high_blood_pressure"",""gastritis"",""weak_stomach""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
27,bò lúc lắc,đồ ăn,"thịt bò, ớt chuông, hành tây, tiêu","thịt (nhiều/ít), rau (nhiều/ít/không), tiêu (nhiều/ít/không)","{""thịt"": [""nhiều"", ""ít""], ""rau"": [""nhiều"", ""ít"", ""không""], ""tiêu"": [""nhiều"", ""ít"", ""không""]}","Bò lúc lắc là món áp chảo thơm đậm, giàu đạm. Không phù hợp người cao huyết áp hoặc cholesterol cao.","{""type"":""đồ ăn"",""taste"":[""savory"",""umami""],""ingredients"":[""thịt bò"",""ớt chuông"",""hành tây"",""tiêu""],""options"":[""thịt (nhiều/ít)"",""rau (nhiều/ít/không)"",""tiêu (nhiều/ít/không)""],""suitable_for"":[""high_protein""],""avoid_for"":[""high_blood_pressure"",""high_cholesterol""]}","{""good_for"":[""high_protein""],""bad_for"":[""high_blood_pressure"",""high_cholesterol""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
28,canh chua cá,đồ ăn,"cá, me chua, cà chua, rau thơm","cá (nhiều/ít), me (nhiều/ít), rau (nhiều/ít/không), cà chua (thêm/bớt)","{""cá"": [""nhiều"", ""ít""], ""me"": [""nhiều"", ""ít""], ""rau"": [""nhiều"", ""ít"", ""không""], ""cà_chua"": [""thêm"", ""bớt""]}","Canh chua cá là món nước chua ngọt thanh mát, dễ tiêu. Không phù hợp người gout hoặc dạ dày yếu nếu ăn quá chua.","{""type"":""đồ ăn"",""taste"":[""sour"",""umami"",""sweet""],""ingredients"":[""cá"",""me chua"",""cà chua"",""rau thơm""],""options"":[""cá (nhiều/ít)"",""me (nhiều/ít)"",""rau (nhiều/ít/không)"",""cà chua (thêm/bớt)""],""suitable_for"":[""weak_stomach"",""hot_weather""],""avoid_for"":[""gout"",""gastritis""]}","{""good_for"":[""weak_stomach"",""hot_weather""],""bad_for"":[""gout"",""gastritis""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":true,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":true,""portable"":false,""short_lunch_break"":false}",
29,chả giò,đồ ăn,"bánh tráng, thịt băm, miến, rau củ","thịt (nhiều/ít), rau củ (nhiều/ít/không), miến (nhiều/ít), nước chấm (cay/không cay)","{""thịt"": [""nhiều"", ""ít""], ""rau_củ"": [""nhiều"", ""ít"", ""không""], ""miến"": [""nhiều"", ""ít""], ""nước_chấm"": [""cay"", ""không cay""]}","Chả giò là món chiên giòn béo, đậm vị. Không phù hợp người béo phì, cao huyết áp hoặc gan nhiễm mỡ.","{""type"":""đồ ăn"",""taste"":[""fatty"",""savory""],""ingredients"":[""bánh tráng"",""thịt băm"",""miến"",""rau củ""],""options"":[""thịt (nhiều/ít)"",""rau củ (nhiều/ít/không)"",""miến (nhiều/ít)"",""nước chấm (cay/không cay)""],""suitable_for"":[],""avoid_for"":[""obesity"",""high_blood_pressure"",""fatty_liver""]}","{""good_for"":[],""bad_for"":[""obesity"",""high_blood_pressure"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
30,gà luộc,đồ ăn,"gà ta, muối, lá chanh","gà (nhiều/ít), lá chanh (nhiều/ít/không), muối (nhiều/ít/không)","{""gà"": [""nhiều"", ""ít""], ""lá_chanh"": [""nhiều"", ""ít"", ""không""], ""muối"": [""nhiều"", ""ít"", ""không""]}","Gà luộc là món ít dầu mỡ, đạm cao và dễ ăn. Không phù hợp người cao huyết áp nếu chấm muối mặn.","{""type"":""đồ ăn"",""taste"":[""savory""],""ingredients"":[""gà ta"",""muối"",""lá chanh""],""options"":[""gà (nhiều/ít)"",""lá chanh (nhiều/ít/không)"",""muối (nhiều/ít/không)""],""suitable_for"":[""high_protein"",""light_meal""],""avoid_for"":[""high_blood_pressure""]}","{""good_for"":[""high_protein"",""light_meal""],""bad_for"":[""high_blood_pressure""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":true,""post_work"":true,""post_workout"":true,""light_meal"":true,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
31,bánh khọt,đồ ăn,"bột gạo, tôm, thịt, rau sống","tôm (nhiều/ít), thịt (nhiều/ít), rau (nhiều/ít/không), nước chấm (cay/không cay)","{""tôm"": [""nhiều"", ""ít""], ""thịt"": [""nhiều"", ""ít""], ""rau"": [""nhiều"", ""ít"", ""không""], ""nước_chấm"": [""cay"", ""không cay""]}","Bánh khọt là món chiên giòn, béo và đậm vị, thường ăn kèm rau sống giúp cân bằng. Không phù hợp người béo phì, cao huyết áp hoặc gan nhiễm mỡ.","{""type"":""đồ ăn"",""taste"":[""savory"",""fatty""],""ingredients"":[""bột gạo"",""tôm"",""thịt"",""rau sống""],""options"":[""tôm (nhiều/ít)"",""thịt (nhiều/ít)"",""rau (nhiều/ít/không)"",""nước chấm (cay/không cay)""],""suitable_for"":[],""avoid_for"":[""obesity"",""high_blood_pressure"",""fatty_liver""]}","{""good_for"":[],""bad_for"":[""obesity"",""high_blood_pressure"",""fatty_liver""]}","{""morning"":false,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":false,""cold_weather"":true,""rainy"":false,""sunny_strong"":false,""pre_work"":false,""post_work"":true,""post_workout"":false,""light_meal"":false,""want_hot_food"":true,""want_cold_food"":false,""in_a_hurry"":false,""on_the_go"":false,""with_friends"":true,""need_relax"":false,""portable"":false,""short_lunch_break"":false}",
32,trà chanh,thức uống,"trà xanh, chanh, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Trà chanh là thức uống thanh mát, chua nhẹ, giúp tỉnh táo và giải nhiệt. Không phù hợp người đau dạ dày do độ chua cao.","{""type"":""thức uống"",""taste"":[""sour"",""sweet"",""fresh""],""ingredients"":[""trà xanh"",""chanh"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""hot_weather"",""refresh""],""avoid_for"":[""gastritis"",""weak_stomach""]}","{""good_for"":[""hot_weather"",""refresh""],""bad_for"":[""gastritis"",""weak_stomach""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":true,""post_work"":true,""post_workout"":true,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
33,nước sâm,thức uống,"thảo mộc, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Nước sâm là thức uống mát gan, giải nhiệt. Không phù hợp người tiểu đường do lượng đường cao.","{""type"":""thức uống"",""taste"":[""sweet"",""herbal""],""ingredients"":[""thảo mộc"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""hot_weather"",""cooling""],""avoid_for"":[""diabetes""]}","{""good_for"":[""hot_weather"",""cooling""],""bad_for"":[""diabetes""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":false,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
34,nước rau má,thức uống,"rau má, đường, đá","đá (nhiều/ít/không), đường (nhiều/ít/không)","{""đá"": [""nhiều"", ""ít"", ""không""], ""đường"": [""nhiều"", ""ít"", ""không""]}","Nước rau má có tính mát, hỗ trợ giải nhiệt và thanh lọc. Không phù hợp người tiêu chảy do tác dụng mát mạnh.","{""type"":""thức uống"",""taste"":[""fresh"",""sweet""],""ingredients"":[""rau má"",""đường"",""đá""],""options"":[""đá (nhiều/ít/không)"",""đường (nhiều/ít/không)""],""suitable_for"":[""hot_weather"",""cooling""],""avoid_for"":[""diarrhea"",""weak_digestive_system""]}","{""good_for"":[""hot_weather"",""cooling""],""bad_for"":[""diarrhea"",""weak_digestive_system""]}","{""morning"":true,""noon"":true,""evening"":true,""midnight"":false,""hot_weather"":true,""cold_weather"":false,""rainy"":false,""sunny_strong"":true,""pre_work"":false,""post_work"":true,""post_workout"":true,""light_meal"":true,""want_hot_food"":false,""want_cold_food"":true,""in_a_hurry"":true,""on_the_go"":true,""with_friends"":true,""need_relax"":false,""portable"":true,""short_lunch_break"":true}",
